,screen_pixel_size,new_response_max,new_response_min,viewing_distance,image_height,image_width,target_orientation,flank_distance,flank_orientation,gap,offset,image,sigma,K,rms,rrms,resp.keys,resp.rt,expName,session,date,participant
0,0.282,100,0,22.0,600,600,0,-1.0,45,0,10,bex_00_-1_45_00.png,0.8119026961336693,5.0,0.0365366367982275,0.0110957493208992,0,0,bex,0,2019_Jun_16_1308,model
1,0.282,100,0,22.0,600,600,0,-1.0,45,1,10,bex_00_-1_45_01.png,0.8119026961336693,5.0,0.0365366367982275,0.0110957493208992,0,0,bex,0,2019_Jun_16_1308,model
2,0.282,100,0,22.0,600,600,0,-1.0,135,0,10,bex_00_-1_135_00.png,0.8119026961336693,5.0,0.0365366367982275,0.0110957493208992,0,0,bex,0,2019_Jun_16_1308,model
3,0.282,100,0,22.0,600,600,0,-1.0,135,1,10,bex_00_-1_135_01.png,0.8119026961336693,5.0,0.0365366367982275,0.0110957493208992,0,0,bex,0,2019_Jun_16_1308,model
4,0.282,100,0,22.0,600,600,0,-1.0,225,0,10,bex_00_-1_225_00.png,0.8119026961336693,5.0,0.0365366367982275,0.0110957493208992,0,0,bex,0,2019_Jun_16_1308,model
5,0.282,100,0,22.0,600,600,0,-1.0,225,1,10,bex_00_-1_225_01.png,0.8119026961336693,5.0,0.0365366367982275,0.0110957493208992,0,0,bex,0,2019_Jun_16_1308,model
6,0.282,100,0,22.0,600,600,0,-1.0,315,0,10,bex_00_-1_315_00.png,0.8119026961336693,5.0,0.0365366367982275,0.0110957493208992,0,0,bex,0,2019_Jun_16_1308,model
7,0.282,100,0,22.0,600,600,0,-1.0,315,1,10,bex_00_-1_315_01.png,0.8119026961336693,5.0,0.0365366367982275,0.0110957493208992,0,0,bex,0,2019_Jun_16_1308,model
8,0.282,100,0,22.0,600,600,0,0.5,45,0,10,bex_00_0.5_45_00.png,0.8119026961336693,5.0,0.06300159113620495,0.01877965647079332,0,0,bex,0,2019_Jun_16_1308,model
9,0.282,100,0,22.0,600,600,0,0.5,45,1,10,bex_00_0.5_45_01.png,0.8119026961336693,5.0,0.06023902697245565,0.018260963232415276,0,0,bex,0,2019_Jun_16_1308,model
10,0.282,100,0,22.0,600,600,0,0.5,135,0,10,bex_00_0.5_135_00.png,0.8119026961336693,5.0,0.06300159113620495,0.01877965647079332,0,0,bex,0,2019_Jun_16_1308,model
11,0.282,100,0,22.0,600,600,0,0.5,135,1,10,bex_00_0.5_135_01.png,0.8119026961336693,5.0,0.06019461677350925,0.018239681033548217,0,0,bex,0,2019_Jun_16_1308,model
12,0.282,100,0,22.0,600,600,0,0.5,225,0,10,bex_00_0.5_225_00.png,0.8119026961336693,5.0,0.06300159113620495,0.01877965647079332,0,0,bex,0,2019_Jun_16_1308,model
13,0.282,100,0,22.0,600,600,0,0.5,225,1,10,bex_00_0.5_225_01.png,0.8119026961336693,5.0,0.060239026972455645,0.018250864526230988,0,0,bex,0,2019_Jun_16_1308,model
14,0.282,100,0,22.0,600,600,0,0.5,315,0,10,bex_00_0.5_315_00.png,0.8119026961336693,5.0,0.06300159113620495,0.01877965647079332,0,0,bex,0,2019_Jun_16_1308,model
15,0.282,100,0,22.0,600,600,0,0.5,315,1,10,bex_00_0.5_315_01.png,0.8119026961336693,5.0,0.060283402422939135,0.01827392300546075,0,0,bex,0,2019_Jun_16_1308,model
16,0.282,100,0,22.0,600,600,0,0.92,45,0,10,bex_00_0.92_45_00.png,0.8119026961336693,5.0,0.06934490522862018,0.020526852090670976,0,0,bex,0,2019_Jun_16_1308,model
17,0.282,100,0,22.0,600,600,0,0.92,45,1,10,bex_00_0.92_45_01.png,0.8119026961336693,5.0,0.0667740667974181,0.020036718503730424,0,0,bex,0,2019_Jun_16_1308,model
18,0.282,100,0,22.0,600,600,0,0.92,135,0,10,bex_00_0.92_135_00.png,0.8119026961336693,5.0,0.06934490522862018,0.020526852090670976,0,0,bex,0,2019_Jun_16_1308,model
19,0.282,100,0,22.0,600,600,0,0.92,135,1,10,bex_00_0.92_135_01.png,0.8119026961336693,5.0,0.06673926486360462,0.020027600165471834,0,0,bex,0,2019_Jun_16_1308,model
20,0.282,100,0,22.0,600,600,0,0.92,225,0,10,bex_00_0.92_225_00.png,0.8119026961336693,5.0,0.06934490522862018,0.020526852090670976,0,0,bex,0,2019_Jun_16_1308,model
21,0.282,100,0,22.0,600,600,0,0.92,225,1,10,bex_00_0.92_225_01.png,0.8119026961336693,5.0,0.0667740667974181,0.02003643632257851,0,0,bex,0,2019_Jun_16_1308,model
22,0.282,100,0,22.0,600,600,0,0.92,315,0,10,bex_00_0.92_315_00.png,0.8119026961336693,5.0,0.06934490522862018,0.020526852090670976,0,0,bex,0,2019_Jun_16_1308,model
23,0.282,100,0,22.0,600,600,0,0.92,315,1,10,bex_00_0.92_315_01.png,0.8119026961336693,5.0,0.06679891336100516,0.0200462187143888,0,0,bex,0,2019_Jun_16_1308,model
24,0.282,100,0,22.0,600,600,0,1.62,45,0,10,bex_00_1.62_45_00.png,0.8119026961336693,5.0,0.07880911552828054,0.023271064244249188,0,0,bex,0,2019_Jun_16_1308,model
25,0.282,100,0,22.0,600,600,0,1.62,45,1,10,bex_00_1.62_45_01.png,0.8119026961336693,5.0,0.07649494769880498,0.022822984688827857,0,0,bex,0,2019_Jun_16_1308,model
26,0.282,100,0,22.0,600,600,0,1.62,135,0,10,bex_00_1.62_135_00.png,0.8119026961336693,5.0,0.07880911552828054,0.023271064244249188,0,0,bex,0,2019_Jun_16_1308,model
27,0.282,100,0,22.0,600,600,0,1.62,135,1,10,bex_00_1.62_135_01.png,0.8119026961336693,5.0,0.07648208889274503,0.022818344775168805,0,0,bex,0,2019_Jun_16_1308,model
28,0.282,100,0,22.0,600,600,0,1.62,225,0,10,bex_00_1.62_225_00.png,0.8119026961336693,5.0,0.07880911552828054,0.023271064244249188,0,0,bex,0,2019_Jun_16_1308,model
29,0.282,100,0,22.0,600,600,0,1.62,225,1,10,bex_00_1.62_225_01.png,0.8119026961336693,5.0,0.076494947698805,0.02282298468882785,0,0,bex,0,2019_Jun_16_1308,model
30,0.282,100,0,22.0,600,600,0,1.62,315,0,10,bex_00_1.62_315_00.png,0.8119026961336693,5.0,0.07880911552828054,0.023271064244249188,0,0,bex,0,2019_Jun_16_1308,model
31,0.282,100,0,22.0,600,600,0,1.62,315,1,10,bex_00_1.62_315_01.png,0.8119026961336693,5.0,0.0765163737398408,0.022828342606017793,0,0,bex,0,2019_Jun_16_1308,model
32,0.282,100,0,22.0,600,600,0,2.58,45,0,10,bex_00_2.58_45_00.png,0.8119026961336693,5.0,0.08974528474921349,0.02661330081080057,0,0,bex,0,2019_Jun_16_1308,model
33,0.282,100,0,22.0,600,600,0,2.58,45,1,10,bex_00_2.58_45_01.png,0.8119026961336693,5.0,0.0877174143936195,0.026208302523226163,0,0,bex,0,2019_Jun_16_1308,model
34,0.282,100,0,22.0,600,600,0,2.58,135,0,10,bex_00_2.58_135_00.png,0.8119026961336693,5.0,0.08974528474921349,0.02661330081080057,0,0,bex,0,2019_Jun_16_1308,model
35,0.282,100,0,22.0,600,600,0,2.58,135,1,10,bex_00_2.58_135_01.png,0.8119026961336693,5.0,0.08769903366420057,0.026203322617791052,0,0,bex,0,2019_Jun_16_1308,model
36,0.282,100,0,22.0,600,600,0,2.58,225,0,10,bex_00_2.58_225_00.png,0.8119026961336693,5.0,0.08974528474921349,0.02661330081080057,0,0,bex,0,2019_Jun_16_1308,model
37,0.282,100,0,22.0,600,600,0,2.58,225,1,10,bex_00_2.58_225_01.png,0.8119026961336693,5.0,0.08771741439361952,0.02620830252322616,0,0,bex,0,2019_Jun_16_1308,model
38,0.282,100,0,22.0,600,600,0,2.58,315,0,10,bex_00_2.58_315_00.png,0.8119026961336693,5.0,0.08974528474921349,0.02661330081080057,0,0,bex,0,2019_Jun_16_1308,model
39,0.282,100,0,22.0,600,600,0,2.58,315,1,10,bex_00_2.58_315_01.png,0.8119026961336693,5.0,0.0877284407209458,0.026212562343593537,0,0,bex,0,2019_Jun_16_1308,model
40,0.282,100,0,22.0,600,600,0,3.9,45,0,10,bex_00_3.9_45_00.png,0.8119026961336693,5.0,0.10297795830629163,0.030606209556203443,0,0,bex,0,2019_Jun_16_1308,model
41,0.282,100,0,22.0,600,600,0,3.9,45,1,10,bex_00_3.9_45_01.png,0.8119026961336693,5.0,0.10123934456506127,0.030237374727504374,0,0,bex,0,2019_Jun_16_1308,model
42,0.282,100,0,22.0,600,600,0,3.9,135,0,10,bex_00_3.9_135_00.png,0.8119026961336693,5.0,0.10297795830629163,0.030606209556203443,0,0,bex,0,2019_Jun_16_1308,model
43,0.282,100,0,22.0,600,600,0,3.9,135,1,10,bex_00_3.9_135_01.png,0.8119026961336693,5.0,0.10122690782651633,0.030234010444710222,0,0,bex,0,2019_Jun_16_1308,model
44,0.282,100,0,22.0,600,600,0,3.9,225,0,10,bex_00_3.9_225_00.png,0.8119026961336693,5.0,0.10297795830629163,0.030606209556203443,0,0,bex,0,2019_Jun_16_1308,model
45,0.282,100,0,22.0,600,600,0,3.9,225,1,10,bex_00_3.9_225_01.png,0.8119026961336693,5.0,0.10123934456506126,0.030237374727504377,0,0,bex,0,2019_Jun_16_1308,model
46,0.282,100,0,22.0,600,600,0,3.9,315,0,10,bex_00_3.9_315_00.png,0.8119026961336693,5.0,0.10297795830629163,0.030606209556203443,0,0,bex,0,2019_Jun_16_1308,model
47,0.282,100,0,22.0,600,600,0,3.9,315,1,10,bex_00_3.9_315_01.png,0.8119026961336693,5.0,0.10124556224802564,0.03024124161403586,0,0,bex,0,2019_Jun_16_1308,model
48,0.282,100,0,22.0,600,600,90,-1.0,45,0,10,bex_90_-1_45_00.png,0.8119026961336693,5.0,0.03638709260435219,0.01104670918506495,0,0,bex,0,2019_Jun_16_1308,model
49,0.282,100,0,22.0,600,600,90,-1.0,45,1,10,bex_90_-1_45_01.png,0.8119026961336693,5.0,0.03638709260435219,0.01104670918506495,0,0,bex,0,2019_Jun_16_1308,model
50,0.282,100,0,22.0,600,600,90,-1.0,135,0,10,bex_90_-1_135_00.png,0.8119026961336693,5.0,0.03638709260435219,0.01104670918506495,0,0,bex,0,2019_Jun_16_1308,model
51,0.282,100,0,22.0,600,600,90,-1.0,135,1,10,bex_90_-1_135_01.png,0.8119026961336693,5.0,0.03638709260435219,0.01104670918506495,0,0,bex,0,2019_Jun_16_1308,model
52,0.282,100,0,22.0,600,600,90,-1.0,225,0,10,bex_90_-1_225_00.png,0.8119026961336693,5.0,0.03638709260435219,0.01104670918506495,0,0,bex,0,2019_Jun_16_1308,model
53,0.282,100,0,22.0,600,600,90,-1.0,225,1,10,bex_90_-1_225_01.png,0.8119026961336693,5.0,0.03638709260435219,0.01104670918506495,0,0,bex,0,2019_Jun_16_1308,model
54,0.282,100,0,22.0,600,600,90,-1.0,315,0,10,bex_90_-1_315_00.png,0.8119026961336693,5.0,0.03638709260435219,0.01104670918506495,0,0,bex,0,2019_Jun_16_1308,model
55,0.282,100,0,22.0,600,600,90,-1.0,315,1,10,bex_90_-1_315_01.png,0.8119026961336693,5.0,0.03638709260435219,0.01104670918506495,0,0,bex,0,2019_Jun_16_1308,model
56,0.282,100,0,22.0,600,600,90,0.5,45,0,10,bex_90_0.5_45_00.png,0.8119026961336693,5.0,0.06291688574307847,0.018751462636808266,0,0,bex,0,2019_Jun_16_1308,model
57,0.282,100,0,22.0,600,600,90,0.5,45,1,10,bex_90_0.5_45_01.png,0.8119026961336693,5.0,0.060150171749133466,0.0182314318511445,0,0,bex,0,2019_Jun_16_1308,model
