,screen_pixel_size,new_response_max,new_response_min,viewing_distance,image_height,image_width,num_flank,flank_distance,target_orientation,flank_orientation,gap,offset,image,sigma,K,rms,rrms,resp.keys,resp.rt,expName,session,date,participant
0,0.282,100,0,22.0,600,600,1,-1.0,0,45,0,10,pachai_01_-1_00_45_00.png,0.8119026961336693,5.0,0.0365366367982275,0.0110957493208992,0,0,pachai,0,2019_Jun_16_1310,model
1,0.282,100,0,22.0,600,600,1,-1.0,0,45,1,10,pachai_01_-1_00_45_01.png,0.8119026961336693,5.0,0.0365366367982275,0.0110957493208992,0,0,pachai,0,2019_Jun_16_1310,model
2,0.282,100,0,22.0,600,600,1,-1.0,0,135,0,10,pachai_01_-1_00_135_00.png,0.8119026961336693,5.0,0.0365366367982275,0.0110957493208992,0,0,pachai,0,2019_Jun_16_1310,model
3,0.282,100,0,22.0,600,600,1,-1.0,0,135,1,10,pachai_01_-1_00_135_01.png,0.8119026961336693,5.0,0.0365366367982275,0.0110957493208992,0,0,pachai,0,2019_Jun_16_1310,model
4,0.282,100,0,22.0,600,600,1,-1.0,0,225,0,10,pachai_01_-1_00_225_00.png,0.8119026961336693,5.0,0.0365366367982275,0.0110957493208992,0,0,pachai,0,2019_Jun_16_1310,model
5,0.282,100,0,22.0,600,600,1,-1.0,0,225,1,10,pachai_01_-1_00_225_01.png,0.8119026961336693,5.0,0.0365366367982275,0.0110957493208992,0,0,pachai,0,2019_Jun_16_1310,model
6,0.282,100,0,22.0,600,600,1,-1.0,0,315,0,10,pachai_01_-1_00_315_00.png,0.8119026961336693,5.0,0.0365366367982275,0.0110957493208992,0,0,pachai,0,2019_Jun_16_1310,model
7,0.282,100,0,22.0,600,600,1,-1.0,0,315,1,10,pachai_01_-1_00_315_01.png,0.8119026961336693,5.0,0.0365366367982275,0.0110957493208992,0,0,pachai,0,2019_Jun_16_1310,model
8,0.282,100,0,22.0,600,600,1,-1.0,90,45,0,10,pachai_01_-1_90_45_00.png,0.8119026961336693,5.0,0.03638709260435219,0.01104670918506495,0,0,pachai,0,2019_Jun_16_1310,model
9,0.282,100,0,22.0,600,600,1,-1.0,90,45,1,10,pachai_01_-1_90_45_01.png,0.8119026961336693,5.0,0.03638709260435219,0.01104670918506495,0,0,pachai,0,2019_Jun_16_1310,model
10,0.282,100,0,22.0,600,600,1,-1.0,90,135,0,10,pachai_01_-1_90_135_00.png,0.8119026961336693,5.0,0.03638709260435219,0.01104670918506495,0,0,pachai,0,2019_Jun_16_1310,model
